"Date" "AMZN.Open" "AMZN.High" "AMZN.Low" "AMZN.Close" "AMZN.Volume" "AMZN.Adjusted"
"1" 2007-01-03 38.68 39.060001 38.049999 38.700001 12405100 38.700001
"2" 2007-01-04 38.59 39.139999 38.259998 38.900002 6318400 38.900002
"3" 2007-01-05 38.720001 38.790001 37.599998 38.369999 6619700 38.369999
"4" 2007-01-08 38.220001 38.310001 37.169998 37.5 6783000 37.5
"5" 2007-01-09 37.599998 38.060001 37.34 37.779999 5703000 37.779999
"6" 2007-01-10 37.490002 37.700001 37.07 37.150002 6527500 37.150002
"7" 2007-01-11 37.169998 38 37.169998 37.400002 6465600 37.400002
"8" 2007-01-12 37.360001 38.209999 37.27 38.200001 4466400 38.200001
"9" 2007-01-16 38.400002 38.889999 37.970001 38.66 5643700 38.66
"10" 2007-01-17 38.700001 39 37.779999 37.880001 5026800 37.880001
"11" 2007-01-18 37.5 37.650002 36.720001 36.98 9105000 36.98
"12" 2007-01-19 36.689999 37.48 36.599998 37.02 6095900 37.02
"13" 2007-01-22 37.650002 37.900002 36.799999 36.950001 8317000 36.950001
"14" 2007-01-23 36.900002 37.07 36.299999 36.43 5313600 36.43
"15" 2007-01-24 36.509998 37.360001 36.5 37.259998 5271700 37.259998
"16" 2007-01-25 38.080002 38.23 36.779999 37.080002 6747600 37.080002
"17" 2007-01-26 37.259998 37.259998 36.299999 36.849998 4139300 36.849998
"18" 2007-01-29 36.700001 37.450001 36.540001 37.43 7395000 37.43
"19" 2007-01-30 37.290001 37.419998 36.630001 37.049999 4813500 37.049999
"20" 2007-01-31 36.950001 38.189999 36.759998 37.669998 7277500 37.669998
"21" 2007-02-01 37.950001 39.299999 37.849998 38.700001 26123100 38.700001
"22" 2007-02-02 37.23 37.740002 36.68 37.389999 25850700 37.389999
"23" 2007-02-05 37.25 37.419998 36.77 37.16 6110900 37.16
"24" 2007-02-06 37.200001 38.41 37.080002 38.27 8612700 38.27
"25" 2007-02-07 38.490002 39.52 38.400002 38.98 10503200 38.98
"26" 2007-02-08 38.950001 39.509998 38.669998 39.099998 5483600 39.099998
"27" 2007-02-09 39.189999 39.310001 38.66 38.720001 5960100 38.720001
"28" 2007-02-12 38.790001 38.990002 38.360001 38.849998 3835700 38.849998
"29" 2007-02-13 38.849998 39.610001 38.849998 39.310001 4505500 39.310001
"30" 2007-02-14 39.23 40.279999 39.139999 40.139999 6814100 40.139999
"31" 2007-02-15 40.139999 40.32 39.860001 40.060001 5088200 40.060001
"32" 2007-02-16 39.900002 40.439999 39.869999 40.330002 4679000 40.330002
"33" 2007-02-20 40.130001 41.740002 40 41.509998 8903400 41.509998
"34" 2007-02-21 41.189999 41.32 40.919998 41.259998 4508400 41.259998
"35" 2007-02-22 41.400002 42 40.889999 41 4926100 41
"36" 2007-02-23 41 41.200001 40.740002 40.779999 5497400 40.779999
"37" 2007-02-26 40.860001 41.200001 40.400002 40.880001 4035200 40.880001
"38" 2007-02-27 40.189999 40.540001 38.779999 38.830002 8850700 38.830002
"39" 2007-02-28 38.91 39.580002 38.080002 39.139999 7687400 39.139999
"40" 2007-03-01 39.32 39.32 38.049999 38.849998 9255800 38.849998
"41" 2007-03-02 38.32 38.869999 37.689999 37.689999 7787800 37.689999
"42" 2007-03-05 37.150002 38.32 37.040001 37.049999 9565600 37.049999
"43" 2007-03-06 37.689999 38.66 37.41 38.580002 12848200 38.580002
"44" 2007-03-07 38.68 39.32 38.279999 38.360001 8644600 38.360001
"45" 2007-03-08 38.77 39.220001 37.98 38.099998 7629300 38.099998
"46" 2007-03-09 38.48 38.889999 38 38.84 6200100 38.84
"47" 2007-03-12 38.639999 39.049999 38.380001 38.810001 4879000 38.810001
"48" 2007-03-13 38.299999 38.880001 37.689999 37.82 5204100 37.82
"49" 2007-03-14 37.759998 38.220001 37.259998 38.080002 8591100 38.080002
"50" 2007-03-15 38.099998 38.290001 37.549999 37.779999 7265700 37.779999
"51" 2007-03-16 37.720001 38.080002 37.52 37.849998 6865500 37.849998
"52" 2007-03-19 38 38.540001 38 38.450001 4226600 38.450001
"53" 2007-03-20 38.529999 38.689999 38.23 38.580002 3801300 38.580002
"54" 2007-03-21 38.549999 39.799999 38.310001 39.799999 4996400 39.799999
"55" 2007-03-22 39.48 39.720001 38.91 39.490002 5331500 39.490002
"56" 2007-03-23 39.560001 39.599998 38.98 38.98 2941500 38.98
"57" 2007-03-26 38.98 39.049999 38.43 39.009998 3521100 39.009998
"58" 2007-03-27 38.82 39.419998 38.759998 39.369999 3993600 39.369999
"59" 2007-03-28 39.09 39.509998 38.740002 39.34 6202200 39.34
"60" 2007-03-29 39.650002 39.919998 39.299999 39.810001 6405200 39.810001
"61" 2007-03-30 39.75 40.240002 39.419998 39.790001 5996900 39.790001
"62" 2007-04-02 39.849998 40.470001 39.549999 40.419998 7091300 40.419998
"63" 2007-04-03 40.419998 41.380001 40.400002 41.189999 5968200 41.189999
"64" 2007-04-04 41.220001 41.549999 40.919998 41.529999 4064700 41.529999
"65" 2007-04-05 41.57 41.759998 41.439999 41.68 3288400 41.68
"66" 2007-04-09 41.720001 42.139999 41.610001 41.66 4182700 41.66
"67" 2007-04-10 41.57 41.959999 41.459999 41.860001 3421800 41.860001
"68" 2007-04-11 41.73 41.869999 41.240002 41.68 5078400 41.68
"69" 2007-04-12 41.73 42.369999 41.400002 42.27 4754500 42.27
"70" 2007-04-13 42.189999 42.5 41.93 42.41 3610000 42.41
"71" 2007-04-16 43.77 45.299999 43.669998 45.200001 13444000 45.200001
"72" 2007-04-17 45.279999 45.32 44.75 45.07 7398900 45.07
"73" 2007-04-18 44.799999 45.150002 44.630001 44.990002 4996400 44.990002
"74" 2007-04-19 44.610001 45.150002 44.41 44.639999 4809700 44.639999
"75" 2007-04-20 45.09 45.169998 44.52 44.950001 5980500 44.950001
"76" 2007-04-23 44.27 44.810001 44.16 44.77 7088600 44.77
"77" 2007-04-24 44.75 45 44.43 44.75 19887600 44.75
"78" 2007-04-25 53.119999 57.18 52.950001 56.810001 104329200 56.810001
"79" 2007-04-26 56.5 63.040001 56.07 62.779999 62179500 62.779999
"80" 2007-04-27 61.240002 63.84 60.619999 62.599998 50733400 62.599998
"81" 2007-04-30 61.91 62.439999 61.18 61.330002 23979200 61.330002
"82" 2007-05-01 61.119999 62.040001 60.279999 62.040001 18519000 62.040001
"83" 2007-05-02 61.68 62.25 60.900002 61.18 14427200 61.18
"84" 2007-05-03 61.080002 62.540001 60.759998 62.189999 13482000 62.189999
"85" 2007-05-04 62.389999 63.75 62.349998 63.23 14299300 63.23
"86" 2007-05-07 62.43 63.23 60.709999 60.82 14808300 60.82
"87" 2007-05-08 60.540001 61.84 59.700001 61.830002 13551100 61.830002
"88" 2007-05-09 62 62.950001 61.299999 62.849998 8874900 62.849998
"89" 2007-05-10 62.439999 62.650002 60.849998 60.919998 10052000 60.919998
"90" 2007-05-11 60.959999 61.599998 60.560001 61.560001 7919100 61.560001
"91" 2007-05-14 61.68 61.740002 60.599998 61.700001 7760400 61.700001
"92" 2007-05-15 61.400002 61.970001 60.52 60.580002 8702100 60.580002
"93" 2007-05-16 61.02 63.34 60.099998 63.220001 14485400 63.220001
